child_id,time,note
1,2024-10-01 15:55,普通便
1,2024-10-01 06:02,少なめ
1,2024-10-01 13:37,少なめ
1,2024-10-02 12:49,少なめ
1,2024-10-03 09:53,やわらかめ
1,2024-10-03 07:51,普通便
1,2024-10-04 09:54,普通便
1,2024-10-05 18:09,普通便
1,2024-10-05 13:06,普通便
1,2024-10-05 20:12,少なめ
1,2024-10-06 07:29,普通便
1,2024-10-07 18:04,少なめ
1,2024-10-07 20:38,やわらかめ
1,2024-10-08 11:28,普通便
1,2024-10-08 11:12,やわらかめ
1,2024-10-09 20:34,少なめ
1,2024-10-09 09:59,やわらかめ
1,2024-10-10 17:13,普通便
1,2024-10-10 16:50,やわらかめ
1,2024-10-11 10:28,少なめ
1,2024-10-12 19:55,普通便
1,2024-10-13 16:21,普通便
1,2024-10-13 08:26,普通便
1,2024-10-13 17:49,少なめ
1,2024-10-14 15:08,やわらかめ
1,2024-10-14 12:31,普通便
1,2024-10-15 10:17,少なめ
1,2024-10-16 17:41,少なめ
1,2024-10-16 15:58,少なめ
1,2024-10-16 10:44,普通便
1,2024-10-17 09:35,普通便
1,2024-10-18 18:46,やわらかめ
1,2024-10-19 09:47,少なめ
1,2024-10-19 13:07,普通便
1,2024-10-19 06:10,普通便
1,2024-10-20 12:21,普通便
1,2024-10-20 20:33,少なめ
1,2024-10-21 14:17,やわらかめ
1,2024-10-22 07:37,少なめ
1,2024-10-23 11:19,普通便
1,2024-10-23 19:35,やわらかめ
1,2024-10-23 10:06,やわらかめ
1,2024-10-24 13:24,普通便
1,2024-10-25 14:32,普通便
1,2024-10-26 18:16,少なめ
1,2024-10-26 12:48,少なめ
1,2024-10-26 16:01,普通便
1,2024-10-27 19:32,普通便
1,2024-10-28 07:01,少なめ
1,2024-10-29 18:36,やわらかめ
1,2024-10-30 15:23,少なめ
1,2024-10-31 07:09,普通便
1,2024-11-01 07:22,少なめ
1,2024-11-02 07:35,普通便
1,2024-11-02 06:47,普通便
1,2024-11-03 10:03,普通便
1,2024-11-04 18:13,普通便
1,2024-11-04 14:13,普通便
1,2024-11-04 09:21,やわらかめ
1,2024-11-05 13:40,少なめ
1,2024-11-05 19:18,少なめ
1,2024-11-06 09:18,普通便
1,2024-11-07 13:39,やわらかめ
1,2024-11-07 18:00,やわらかめ
1,2024-11-08 13:52,少なめ
1,2024-11-08 13:37,普通便
1,2024-11-09 13:38,やわらかめ
1,2024-11-10 10:41,普通便
1,2024-11-11 06:13,やわらかめ
1,2024-11-11 16:20,少なめ
1,2024-11-12 10:11,普通便
1,2024-11-12 17:31,少なめ
1,2024-11-12 08:52,やわらかめ
1,2024-11-13 10:13,少なめ
1,2024-11-13 08:23,普通便
1,2024-11-14 15:19,普通便
1,2024-11-14 12:52,少なめ
1,2024-11-14 12:44,少なめ
1,2024-11-15 18:05,少なめ
1,2024-11-15 11:40,やわらかめ
1,2024-11-16 16:46,やわらかめ
1,2024-11-16 14:33,普通便
1,2024-11-16 06:14,少なめ
1,2024-11-17 17:10,少なめ
1,2024-11-18 18:40,やわらかめ
1,2024-11-18 13:41,少なめ
1,2024-11-18 13:02,普通便
1,2024-11-19 06:01,やわらかめ
1,2024-11-19 14:18,少なめ
1,2024-11-19 16:15,普通便
1,2024-11-20 16:31,普通便
1,2024-11-20 20:43,やわらかめ
1,2024-11-21 07:02,少なめ
1,2024-11-22 20:49,やわらかめ
1,2024-11-22 18:49,少なめ
1,2024-11-23 17:24,少なめ
1,2024-11-23 09:44,やわらかめ
1,2024-11-24 19:11,やわらかめ
1,2024-11-24 10:18,少なめ
1,2024-11-25 15:59,普通便
1,2024-11-25 12:49,少なめ
1,2024-11-25 19:03,少なめ
1,2024-11-26 13:18,普通便
1,2024-11-26 17:41,少なめ
1,2024-11-26 11:27,やわらかめ
1,2024-11-27 15:16,やわらかめ
1,2024-11-28 07:06,普通便
1,2024-11-28 07:23,やわらかめ
1,2024-11-28 20:48,普通便
1,2024-11-29 07:28,普通便
1,2024-11-30 10:11,少なめ
1,2024-12-01 08:57,やわらかめ
1,2024-12-01 17:10,少なめ
1,2024-12-02 12:58,やわらかめ
1,2024-12-03 13:29,やわらかめ
1,2024-12-04 15:57,少なめ
1,2024-12-05 10:26,やわらかめ
1,2024-12-06 10:50,少なめ
1,2024-12-07 11:54,やわらかめ
1,2024-12-08 06:05,少なめ
